brand,model,model_year,mileage,fuel_type,transmission_type,clean_title,price,log_price
14,1743,-0.41211784672893104,-0.2623356454652944,1,0,1.0,10300.0,9.239899174217728
19,1182,0.8984863754118634,-0.5732550596373275,2,0,1.0,38005.0,10.54547300900014
27,1325,1.0623119031794628,-0.8098200217057276,2,0,0.0,54598.0,10.907752531025471
20,1242,-0.08446679119373245,0.4624672698453252,3,0,1.0,15500.0,9.648595302907339
3,1225,0.8984863754118634,-1.0495787063824884,2,0,0.0,34999.0,10.463074768634808
0,877,0.07935873657386686,1.3708040526555758,2,3,0.0,14798.0,9.602247315485496
3,1460,0.24318426434146614,0.36875924121677545,2,0,1.0,31000.0,10.341742483467284
4,127,-2.3780241799401227,3.3903650623006247,2,0,1.0,7300.0,8.895629627136483
27,1293,0.8984863754118634,-0.7894719926320997,2,0,1.0,41927.0,10.64368528978735
52,1103,0.7346608476442641,-0.5874451325439365,4,0,1.0,69950.0,11.155535980093628
26,1422,0.8984863754118634,-0.7096862996855059,2,0,0.0,73897.0,11.210427510713089
2,1042,0.5708353198766648,-0.8022086348905924,2,0,1.0,184606.0,12.125979103231247
53,1632,0.8984863754118634,-0.9986130132610426,2,0,1.0,53500.0,10.887436932884098
28,293,1.0623119031794628,-0.8896822110022222,2,3,1.0,62000.0,11.03488966402723
21,697,0.7346608476442641,-0.9335337435828885,2,0,0.0,47998.0,10.778914622355282
26,1393,-0.41211784672893104,0.2884380738208756,2,0,1.0,29990.0,10.308619271743055
36,1077,0.8984863754118634,-1.2054400193054846,2,0,1.0,250000.0,12.429216196844383
11,449,-0.41211784672893104,-0.06967958823998618,2,0,1.0,16800.0,9.72913416539135
39,57,-2.050373124404924,0.17751836646463307,2,2,1.0,11000.0,9.305650551780507
21,698,0.40700979210906546,-0.5635400231999187,2,0,1.0,68750.0,11.138232015528818
16,790,1.226137430947062,-1.1343940343350636,2,0,0.0,60000.0,11.002099841204238
9,1446,-2.5418497077077222,1.3155928121146323,1,0,1.0,4500.0,8.411832675758411
4,75,0.7346608476442641,-0.7406290732204025,2,0,0.0,38598.0,10.560955740639056
14,670,1.226137430947062,-1.1836768077586908,2,0,1.0,58504.0,10.976850406950787
9,1630,0.8984863754118634,-0.24321155799008018,2,0,1.0,61000.0,11.018629143155449
19,583,1.0623119031794628,-1.0148684876149747,2,3,1.0,32300.0,10.382822509210747
39,1526,0.07935873657386686,0.6085944222434372,2,0,0.0,13998.0,9.546669741249485
36,213,0.8984863754118634,-0.9029925758849714,2,0,1.0,59995.0,11.002016504398489
4,114,-0.08446679119373245,0.08189792908856186,2,0,1.0,25700.0,10.154246270883311
